value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2016-12-5
layout: post,12,FALSE,NA,unid,2016-12-5
title: Issue 28,15,FALSE,NA,unid,2016-12-5
description: Weekly News in the R Community.,44,FALSE,NA,unid,2016-12-5
---,3,FALSE,NA,unid,2016-12-5
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,unid,2016-12-5
*Digested by R Weekly Members*,30,FALSE,### Highlight,unid,2016-12-5
"+ [Analysis of software developers in New York, San Francisco, London and Bangalore](http://varianceexplained.org/r/developers-cities/)",135,FALSE,### Highlight,link,2016-12-5
+ [Announcing bookdown: Authoring Books and Technical Documents with R Markdown](https://blog.rstudio.org/2016/12/02/announcing-bookdown/),138,FALSE,### Highlight,link,2016-12-5
+ [NHL shots analysis using Plotly shapes](http://moderndata.plot.ly/nhl-shots-analysis-using-plotly-shapes/),109,FALSE,### Tutorials,link,2016-12-5
+ [How to write and document %special% functions in R](http://peter.solymos.org/code/2016/11/26/how-to-write-and-document-special-functions-in-r.html),150,FALSE,### Tutorials,link,2016-12-5
+ [Simulation in R For AP Statistic](http://www.saturnscience.com/simulation-in-r-for-ap-statistics),100,FALSE,### Tutorials,link,2016-12-5
+ [Extract Twitter Data Automatically using Scheduler R package](http://datascienceplus.com/extract-twitter-data-automatically-using-scheduler-r-package/),154,FALSE,### Tutorials,link,2016-12-5
+ [Jupyter And R Markdown: Notebooks With R](https://www.datacamp.com/community/blog/jupyter-notebook-r),104,FALSE,### Tutorials,link,2016-12-5
+ [How to create a ggplot Theme - Unicorn Edition](http://flovv.github.io/unicorn_ggplot_theme/),96,FALSE,### Tutorials,link,2016-12-5
+ [Be careful evaluating model predictions](http://www.win-vector.com/blog/2016/12/be-careful-evaluating-model-predictions/),124,FALSE,### Tutorials,link,2016-12-5
+ [Writing Good R Code and Writing Well](https://www.rstudio.com/rviews/2016/12/02/writing-good-r-code-and-writing-well/),121,FALSE,### Tutorials,link,2016-12-5
+ [Creating GeoJSON out of Shapefile in R](https://blog.exploratory.io/creating-geojson-out-of-shapefile-in-r-40bc0005857d#.ykuv4dig6),134,FALSE,### Tutorials,link,2016-12-5
![Creating GeoJSON out of Shapefile in R](https://cdn.rawgit.com/rweekly/image/master/2016-12-05/map.png),105,FALSE,### Tutorials,image,2016-12-5
+ [Extracting Tables from PDFs in R using the Tabulizer Package](http://datascienceplus.com/extracting-tables-from-pdfs-in-r-using-the-tabulizer-package/),154,FALSE,### Tutorials,link,2016-12-5
+ [Extreme Gradient Boosting and Preprocessing in Machine Learning – Addendum to predicting flu outcome with R](https://shiring.github.io/machine_learning/2016/12/02/flu_outcome_ML_2_post),188,FALSE,### Tutorials,link,2016-12-5
+ [ratio-of-uniforms [#4]](https://xianblog.wordpress.com/2016/12/02/ratio-of-uniforms-4/),90,FALSE,### Tutorials,link,2016-12-5
+ [RStudio in the cloud with Amazon Lightsail and docker](https://sas-and-r.blogspot.com/2016/12/rstudio-in-cloud-with-amazon-lightsail.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+SASandR+%28SAS+and+R%29),224,FALSE,### Tutorials,link,2016-12-5
+ [Efficiently Saving and Sharing Data in R](http://www.econometricsbysimulation.com/2016/12/efficiently-saving-and-sharing-data-in-r_46.html),142,FALSE,### Tutorials,link,2016-12-5
+ [How to send bulk email to your students using R](http://unamatematicaseltigre.blogspot.com/2016/12/how-to-send-bulk-email-to-your-students.html),147,FALSE,### Tutorials,link,2016-12-5
+ [The hourly heatmap with ggplot2](http://johnmackintosh.com/2016-12-01-the-hourly-heatmap/),93,FALSE,### Tutorials,link,2016-12-5
"+ [Missing Values, Data Science and R](https://www.rstudio.com/rviews/2016/11/30/missing-values-data-science-and-r/)",116,FALSE,### Tutorials,link,2016-12-5
+ [ggplot2: multiple legends for the same aesthetic](http://www.quantide.com/ggplot-multiple-legends-for-the-same-aesthetic/),125,FALSE,### Tutorials,link,2016-12-5
+ [Bill and Ted Make the best out of a Shi… Stata situation: Rstudio + Rstata + Stata](https://mikejacktzen.wordpress.com/2016/11/28/bill-and-ted-make-the-best-out-of-a-shi-stata-situation-rstudio-rstata-stata/),211,FALSE,### Tutorials,link,2016-12-5
+ [More about Flexible Frequency Models](https://statcompute.wordpress.com/2016/11/27/more-about-flexible-frequency-models/),124,FALSE,### Tutorials,link,2016-12-5
"+ [Error, trend, seasonality – ets and its forecast model friends](http://ellisp.github.io/blog/2016/11/27/ets-friends)",119,FALSE,### Tutorials,link,2016-12-5
+ [Building a column selecter](https://edwinth.github.io/blog/column-selecter/),79,FALSE,### Tutorials,link,2016-12-5
+ [How many Authors does the Prime Minister have for his speeches: A Stylometric Analysis](https://aliarsalankazmi.github.io/blog_DA/posts/r/2016/11/18/authorial_analysis_pm.html),179,FALSE,### R in the Real World,link,2016-12-5
![How many Authors does the Prime Minister have for his speeches: A Stylometric Analysis](https://cdn.rawgit.com/aliarsalankazmi/blog_DA/9facbb4dfb97f305f17d242d8dc1313f2df8f987/assets/img/nss_ba_g3.png),203,FALSE,### R in the Real World,image,2016-12-5
+ [Can we predict flu deaths with Machine Learning and R?](https://shiring.github.io/machine_learning/2016/11/27/flu_outcome_ML_post),133,FALSE,### R in the Real World,link,2016-12-5
![Can we predict flu deaths with Machine Learning and R?](https://shiring.github.io/machine_learning/2016/11/27/flu_outcome_ML_post_files/figure-markdown_github/unnamed-chunk-4-1.png),183,FALSE,### R in the Real World,image,2016-12-5
+ [Seasonal Analysis in EGRET](https://owi.usgs.gov/blog/seasonal-analysis),75,FALSE,### R in the Real World,link,2016-12-5
+ [Daily metric tracking with ggplot2](http://johnmackintosh.com/2016-11-27-calendar-heatmaps/),95,FALSE,### R in the Real World,link,2016-12-5
+ [Plotting my trips with ubeR](http://drsimonj.svbtle.com/plotting-my-trips-with-uber),87,FALSE,### R in the Real World,link,2016-12-5
![Plotting my trips with ubeR](https://i1.wp.com/svbtleusercontent.com/yekp76hxc04bea_small.png),96,FALSE,### R in the Real World,image,2016-12-5
+ [An Analysis of Contributions to PubMed Commons](https://nsaunders.wordpress.com/2016/12/02/an-analysis-of-contributions-to-pubmed-commons/),142,FALSE,### R in the Real World,link,2016-12-5
+ [The Effective Number of Parties in the Electorate by Year and Region](http://danielmarcelino.github.io/blog/2016/effective-number-of-parties.html),149,FALSE,### R in the Real World,link,2016-12-5
+ [On the German Tank / Taxicab Problem](http://fportman.com/blog/on-the-german-tank-slash-taxicab-problem/),108,FALSE,### R in the Real World,link,2016-12-5
+ [Replicating NYT Weather App](http://jkunst.com/r/replicating-nyt-weather-app/),81,FALSE,### R in the Real World,link,2016-12-5
+ [Some Technical Reading](https://www.rstudio.com/rviews/2016/11/25/some-technical-reading/),93,FALSE,### R in the Real World,link,2016-12-5
"+ [Analysis of software developers in New York, San Francisco, London and Bangalore](http://varianceexplained.org/r/developers-cities/)",135,FALSE,### R in the Real World,link,2016-12-5
"![Analysis of software developers in New York, San Francisco, London and Bangalore](https://cdn.rawgit.com/dgrtwo/dgrtwo.github.com/ad860e983296047c0e8eecc02cac166470aa7823/figs/2016-12-01-developers-cities/compare_four_cities-1.png)",233,FALSE,### R in the Real World,image,2016-12-5
+ [Heatmaps with Divvy Data](http://www.austinwehrwein.com/data-visualization/heatmaps-with-divvy-data/),104,FALSE,### R in the Real World,link,2016-12-5
+ [:fr: R & les expressions régulière](http://www.thinkr.fr/r-les-expressions-regulieres/) — [English (auto-translate)](https://translate.google.com/translate?hl=en&sl=fr&u=http://www.thinkr.fr/r-les-expressions-regulieres/),224,FALSE,### International R,link,2016-12-5
+ [Free online course: Analyzing big data with Microsoft R Server](http://blog.revolutionanalytics.com/2016/11/edx-microsoft-r.html),132,FALSE,### R in Organization,link,2016-12-5
+ [Announcing bookdown: Authoring Books and Technical Documents with R Markdown](https://blog.rstudio.org/2016/12/02/announcing-bookdown/),138,FALSE,### R in Organization,link,2016-12-5
+ [Working at RStudio](http://appliedpredictivemodeling.com/blog/2016/11/28/working-at-rstudio),95,FALSE,### R in Organization,link,2016-12-5
"+ [Russell 2000 Quantitative Stock Analysis in R: Six Stocks with Amazing, Consistent Growth](http://www.mattdancho.com/investments/2016/11/30/Russell2000_Analysis.html)",169,FALSE,### R in Organization,link,2016-12-5
+ [Using R to Gain Insights into the Emotional Journeys in War and Peace](http://blog.revolutionanalytics.com/2016/12/war-and-peace.html),137,FALSE,### R in Organization,link,2016-12-5
