value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2016-9-5
layout: post,12,FALSE,NA,NA,unid,2016-9-5
title: Issue 15,15,FALSE,NA,NA,unid,2016-9-5
description: Weekly News in R Community.,40,FALSE,NA,NA,unid,2016-9-5
---,3,FALSE,NA,NA,unid,2016-9-5
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,NA,unid,2016-9-5
*Digested by R Weekly Members*,30,FALSE,NA,## Highlight,unid,2016-9-5
+ [forcats 0.1.0 on CRAN](https://blog.rstudio.org/2016/08/31/forcats-0-1-0/) - `forcats` provides tools for categorical variables.,131,FALSE,NA,## Highlight,link,2016-9-5
+ [Shiny tips & tricks for improving your apps and solving common problems](http://deanattali.com/blog/advanced-shiny-tips/),124,FALSE,NA,## Highlight,link,2016-9-5
+ [Profiling Rcpp package code on Windows](http://evolvedmicrobe.com/blogs/?p=359),82,FALSE,NA,#### Tutorials,link,2016-9-5
+ [Debugging in Rmd](https://gist.github.com/gmbecker/e47b0951b91505b2f4607259bcec8f97),87,FALSE,NA,#### Tutorials,link,2016-9-5
+ [Why I still use Excel](https://deevybee.blogspot.sg/2016/09/in-defence-of-excel.html),88,FALSE,NA,#### Tutorials,link,2016-9-5
+ [R packages for forecast combinations](http://robjhyndman.com/hyndsight/forecast-combinations/),97,FALSE,NA,#### Tutorials,link,2016-9-5
![R packages for forecast combinations](https://cdn.rawgit.com/rweekly/image/master/2016-09-05/hybrid.png),106,FALSE,NA,#### Tutorials,image,2016-9-5
"+ [How to create a free distributed data collection ""app"" with R and Google Sheets](http://simplystatistics.org/2016/08/26/googlesheets/)",137,FALSE,NA,#### Tutorials,link,2016-9-5
"+ [Variables can synergize, even in a linear model](http://www.win-vector.com/blog/2016/09/variables-can-synergize-even-in-a-linear-model/)",139,FALSE,NA,#### Tutorials,link,2016-9-5
+ [ggtree for microbiome data](http://guangchuangyu.github.io/2016/09/ggtree-for-microbiome-data/),98,FALSE,NA,#### Tutorials,link,2016-9-5
![ggtree for microbiome data](https://guangchuangyu.github.io/blog_images/Bioconductor/ggtree/tree_ggtree.png),110,FALSE,NA,#### Tutorials,image,2016-9-5
+ [Dual axes time series plots with various more awkward data](http://ellisp.github.io/blog/2016/08/28/dualaxes2),113,FALSE,NA,#### Tutorials,link,2016-9-5
![Dual axes](https://ellisp.github.io/img/0052-milk-price.svg),62,FALSE,NA,#### Tutorials,image,2016-9-5
+ [RDBL – manipulate data in-database with R code only](http://datascienceplus.com/rdbl-manipulate-data-in-database-with-r-code-only/),134,FALSE,NA,#### Tutorials,link,2016-9-5
+ [Make Bland Altman Plots with Marginal Histograms using ggExtra](http://labrtorian.com/2016/08/29/make-bland-altman-plots-with-marginal-histograms-using-ggextra/),164,FALSE,NA,#### Tutorials,link,2016-9-5
+ [Visualizing evolutionary dynamics with ggmuller](https://thesefewlines.wordpress.com/2016/08/20/how-to-ggmuller/),116,FALSE,NA,#### Tutorials,link,2016-9-5
