value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2017-08-14
"title: R Weekly 2017-33 Terminal, SQL",37,FALSE,NA,unid,2017-08-14
description: Weekly News in the R Community.,44,FALSE,NA,unid,2017-08-14
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,unid,2017-08-14
---,3,FALSE,NA,unid,2017-08-14
+ [Welcome](https://www.tidyverse.org/articles/2017/07/welcome/) to the Tidyverse,81,FALSE,###  Highlight,link,2017-08-14
+ [Tutorial: Publish an R function as a SQL Server stored procedure with the sqlrutils package](http://blog.revolutionanalytics.com/2017/08/tutorial-sqlrutils.html),164,FALSE,###  Highlight,link,2017-08-14
+ [RStudio v1.1 Preview: Terminal](https://blog.rstudio.com/2017/08/11/rstudio-v1-1-preview-terminal/),102,FALSE,###  Highlight,link,2017-08-14
+ [US Immigration Enforcement](https://www.stoltzmaniac.com/us-immigration-enforcement-part-1/),95,FALSE,###  R in the Real World,link,2017-08-14
![US Immigration Enforcement ](https://i1.wp.com/www.stoltzmaniac.com/wp-content/uploads/2017/08/immigration-enforcement-plots-1.png?w=504&ssl=1),145,FALSE,###  R in the Real World,image,2017-08-14
"+ [Trump's Android and iPhone tweets, one year later](http://varianceexplained.org/r/trump-followup/)",101,FALSE,###  R in the Real World,link,2017-08-14
"![Trump's Android and iPhone tweets, one year later](https://raw.githubusercontent.com/rweekly/image/master/2017-03/device_history-1.png)",137,FALSE,###  R in the Real World,image,2017-08-14
+ [Plotting recent house price trends with R](http://lenkiefer.github.io/2017/08/07/house-price-trends),103,FALSE,###  R in the Real World,link,2017-08-14
+ [Welcome](https://www.tidyverse.org/articles/2017/07/welcome/) to the Tidyverse,81,FALSE,### Insights,link,2017-08-14
+ [R and active binding](http://colinfay.me/ractivebinfing/),60,FALSE,### Insights,link,2017-08-14
+ [Is it wine o'clock?](http://www.masalmon.eu/2017/08/12/wineoclock/),70,FALSE,### Insights,link,2017-08-14
+ [Au menu du jour : {R6}](http://www.thinkr.fr/au-menu-du-jour-r6-partie-1/) - [Partie 1](http://www.thinkr.fr/au-menu-du-jour-r6-partie-1/) & [Partie 2](http://www.thinkr.fr/au-menu-du-jour-r6-partie-2/),205,FALSE,###  R Internationally,link,2017-08-14
+ [TalkR](https://github.com/ColinFay/talkR) — Bots retweeting language specific R hashtags,91,FALSE,###  R Internationally,link,2017-08-14
+ [Chat with the rOpenSci team at upcoming meetings](http://ropensci.org/blog/blog/2017/08/11/ropensci-at-meetings),115,FALSE,###  R in Organizations,link,2017-08-14
+ [R Consortium Call for Proposals: Summer 2017](https://www.r-consortium.org/blog/2017/08/11/r-consortium-call-for-proposals-summer-2017),138,FALSE,###  R in Organizations,link,2017-08-14
+ [Extend the tidyverse workshop](https://blog.rstudio.com/2017/08/10/upcoming-workshops/),90,FALSE,###  R in Organizations,link,2017-08-14
+ [Code for my educational gifs](https://simplystatistics.org/2017/08/08/code-for-my-educational-gifs/),103,FALSE,###  R in Organizations,link,2017-08-14
+ [The Unix Workbench](http://seankross.com/the-unix-workbench/command-line-basics.html#hello-terminal) - Get ready for RStudio terminal.,137,FALSE,###  Resources,link,2017-08-14
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,###  New Packages,unid,2017-08-14
+ [banR](https://cran.r-project.org/web/packages/banR/index.html) - R Client for the BAN API,92,FALSE,###  New Packages,link,2017-08-14
+ [fitur](https://cran.r-project.org/web/packages/fitur/index.html) - Fit Univariate Distributions,98,FALSE,###  New Packages,link,2017-08-14
+ [grateful](https://github.com/Pakillo/grateful) - Facilitate citation of R packages,85,FALSE,###  New Packages,link,2017-08-14
![grateful](https://pbs.twimg.com/media/DGwR79WXgAAx5pC.jpg),60,FALSE,###  New Packages,image,2017-08-14
+ [RStudio v1.1 Preview: Terminal](https://blog.rstudio.com/2017/08/11/rstudio-v1-1-preview-terminal/),102,FALSE,### Package Releases,link,2017-08-14
![RStudio v1.1 Preview: Terminal](https://d33wubrfki0l68.cloudfront.net/b031c0021b45e857c84024787d9f0601bac738cf/bac85/images/2017-08-07-1_1_term_vim.png),154,FALSE,### Package Releases,image,2017-08-14
+ [dplyrXdf 0.10.0 beta prerelease](http://blog.revolutionanalytics.com/2017/08/dplyrxdf-0100-beta-prerelease.html),115,FALSE,### Package Releases,link,2017-08-14
+ [Who are the Swedish radio P1 summer guests? Answer via Wikidata](http://www.masalmon.eu/2017/08/06/p1/),106,FALSE,###  Tutorials,link,2017-08-14
"+ [R, ethereum, shinyapps - Profitability dashboard](https://fathomson.github.io/2017/07/20/R,-shinyapps,-ethereum-Profitability-dashboard-part-1of2)",149,FALSE,###  Tutorials,link,2017-08-14
"+ [More on ""The Part-Time R-User""](http://www.win-vector.com/blog/2017/08/more-on-the-part-time-r-user/)",104,FALSE,###  Tutorials,link,2017-08-14
+ [Elegant correlation table using xtable R package](http://www.sthda.com/english/wiki/elegant-correlation-table-using-xtable-r-package),136,FALSE,###  Tutorials,link,2017-08-14
+ [Radial kernel Support Vector Classifier](https://datascienceplus.com/radial-kernel-support-vector-classifier/),113,FALSE,###  Tutorials,link,2017-08-14
