value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2019-02-18
"title: R Weekly 2019-07 Flipbook, package building",50,FALSE,NA,NA,unid,2019-02-18
description: Weekly News in the R Community.,44,FALSE,NA,NA,unid,2019-02-18
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,NA,unid,2019-02-18
---,3,FALSE,NA,NA,unid,2019-02-18
+ [The `ggplot2` flipbook](https://evamaerey.github.io/ggplot_flipbook/ggplot_flipbook_xaringan.html#1),103,FALSE,NA,###  Highlights,link,2019-02-18
![ggplot2 flipbook screenshot](https://cdn.jsdelivr.net/gh/rweekly/image/2019/ggplot2-flipbook.gif),99,FALSE,NA,###  Highlights,image,2019-02-18
"+ [Package Building: How `DESCRIPTION`, `NAMESPACE`, `roxygen`, and `devtools::document` work together](http://laderast.github.io/2019/02/12/package-building-description-namespace/)",181,FALSE,NA,###  Highlights,link,2019-02-18
"![diagram from Package Building: How `DESCRIPTION`, `NAMESPACE`, `roxygen`, and `devtools::document` work together](https://cdn.jsdelivr.net/gh/rweekly/image/2019/description.png)",179,FALSE,NA,###  Highlights,image,2019-02-18
"+ [""Correlation is not causation"". So what is?](https://iyarlin.github.io/2019/02/08/correlation-is-not-causation-so-what-is/)",126,FALSE,NA,### Insights,link,2019-02-18
+ [Most popular machine learning R packages – part 2](https://eranraviv.com/most-popular-machine-learning-r-packages-part-2/),125,FALSE,NA,### Insights,link,2019-02-18
+ [Mastering your day as a programmer](https://lorenzwalthert.netlify.com/post/mastering-your-day-as-a-programmer-2/),117,FALSE,NA,### Insights,link,2019-02-18
+ [`ggplot2` extensions gallery](https://www.ggplot2-exts.org/gallery/),71,FALSE,NA,###  Resources,link,2019-02-18
+ [R for Journalism](https://learn.r-journalism.com/en/),56,FALSE,NA,###  Resources,link,2019-02-18
+ [R for Political Data](https://www.thecrosstab.com/categories/r-for-political-data/),86,FALSE,NA,###  Resources,link,2019-02-18
